	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	29	24	23	34	19	44	57	58	53	102	26	21
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
LOC729737	112	119	113	127	84	270	58	51	44	107	37	30
LOC100132287	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133331	19	21	36	16	23	54	8	6	12	33	10	11
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0
LOC100288069	13	17	27	19	9	50	3	0	0	4	4	1
LINC00115	9	12	26	12	7	28	2	2	0	14	1	0
FAM41C	0	0	1	0	1	0	0	0	0	0	0	0
SAMD11	11	20	8	26	10	63	0	1	1	0	0	2
NOC2L	1773	1757	2554	1915	1605	5162	1002	995	1276	4940	1235	1197
KLHL17	110	133	131	168	78	242	129	133	233	573	151	139
PLEKHN1	170	172	254	186	120	403	179	172	194	604	120	156
HES4	26	52	57	30	17	64	106	122	259	250	45	157
ISG15	45	52	51	82	45	211	69	70	129	951	299	1309
AGRN	2887	3576	4140	3682	2053	6988	3691	3508	3540	19581	4349	5986
RNF223	7	4	9	6	4	4	11	19	21	94	4	17
C1orf159	47	76	77	83	34	120	121	144	147	440	108	115
MIR200B	0	0	0	0	0	0	0	0	0	3	1	2
MIR200A	0	1	3	3	1	3	2	0	0	7	0	2
MIR429	3	9	14	3	2	11	1	1	1	8	0	4
TTLL10	0	0	0	0	0	1	0	0	0	0	1	0
TNFRSF18	0	0	1	1	0	3	2	3	4	15	1	6
TNFRSF4	0	0	0	1	0	1	0	0	0	1	0	0
SDF4	1530	1572	1975	1840	1232	3914	934	993	1488	4711	1077	1400
B3GALT6	202	167	222	130	146	397	100	121	238	545	98	131
UBE2J2	275	273	418	277	230	637	279	303	415	1331	304	251
SCNN1D	7	10	20	12	8	9	12	7	10	36	11	12
ACAP3	305	339	470	357	251	744	423	415	608	1454	298	540
PUSL1	75	81	131	108	55	172	156	167	198	479	98	121
TAS1R3	8	1	4	0	0	1	12	7	10	46	17	35
DVL1	544	657	762	738	395	1358	971	972	1173	4144	1018	871
MXRA8	18	21	12	27	17	28	41	36	52	142	39	48
AURKAIP1	401	397	630	517	358	1139	641	714	1047	2838	593	535
CCNL2	926	1115	1358	1049	866	2555	663	723	1046	3217	684	726
LOC148413	192	140	238	157	124	418	68	65	96	181	69	58
MRPL20	663	541	738	513	491	1799	348	387	617	1906	478	448
ANKRD65	242	298	375	256	174	594	96	104	156	252	59	125
TMEM88B	0	0	0	0	0	1	1	0	0	0	0	0
VWA1	217	270	319	359	163	522	380	447	336	760	148	406
ATAD3C	11	9	20	12	11	46	7	4	12	36	4	7
ATAD3B	154	223	292	287	172	508	343	371	537	1611	427	237
ATAD3A	170	202	284	274	181	569	354	386	439	1640	392	364
